pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,849.9582111477401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,850.5600102386788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,849.9582111477401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,850.5600102386788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,849.9582111477401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,850.5600102386788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,849.9582111477401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,850.5600102386788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,853.2999766481014
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,852.1485000690318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,849.9582111477401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,850.5600102386788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,853.2999766481014
